slug,name,team,pos,overall,height,height_in,weight_lbs,wingspan,wingspan_in,Outside Scoring,Inside Scoring,Playmaking,Athleticism,Defense,Rebounding,Intangibles,Close Shot,Free Throw,Mid-Range Shot,Offensive Consistency,Shot IQ,Three-Point Shot,Draw Foul,Driving Dunk,Hands,Layup,Post Control,Post Fade,Post Hook,Standing Dunk,Ball Handle,Pass Accuracy,Pass IQ,Pass Vision,Speed with Ball,Agility,Hustle,Overall Durability,Speed,Stamina,Strength,Vertical,Block,Defensive Consistency,Help Defense IQ,Interior Defense,Pass Perception,Perimeter Defense,Steal,Defensive Rebound,Offensive Rebound,badge: Deadeye,badge: Limitless Range,badge: Mini Marksman,badge: Set Shot Specialist,badge: Shifty Shooter,badge: Aerial Wizard,badge: Float Game,badge: Hook Specialist,badge: Layup Mixmaster,badge: Paint Prodigy,badge: Physical Finisher,badge: Post Fade Phenom,badge: Post Powerhouse,badge: Post-Up Poet,badge: Posterizer,badge: Rise Up,badge: Ankle Assassin,badge: Bail Out,badge: Break Starter,badge: Dimer,badge: Handles For Days,badge: Lightning Launch,badge: Strong Handle,badge: Unpluckable,badge: Versatile Visionary,badge: Challenger,badge: Glove,badge: High-Flying Denier,badge: Immovable Enforcer,badge: Interceptor,badge: Off-Ball Pest,badge: On-Ball Menace,badge: Paint Patroller,badge: Pick Dodger,badge: Post Lockdown,badge: Boxout Beast,badge: Rebound Chaser,badge: Brick Wall,badge: Pogo Stick,badge: Slippery Off-Ball,classic_team,base_team,season,era_tag
pepe-sanchez-2000-01-philadelphia-76ers,Pepe Sanchez,2000-01 Philadelphia 76ers,PG,71,"6'4""",76,195,"6'4""",76,68.0,49.0,78.0,73.0,50.0,41.0,70.0,70,75,66,65,80,52,55,50,85,71,35,35,35,25,79,79,79,76,78,72,75,80,78,88,52,65,25,50,57,37,50,60,70,41,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
matt-geiger-2000-01-philadelphia-76ers,Matt Geiger,2000-01 Philadelphia 76ers,C,69,"7'1""",85,248,"7'6""",90,63.0,60.0,32.0,51.0,56.0,72.0,98.0,66,68,66,55,70,50,67,42,65,41,63,67,67,69,43,32,32,29,25,32,49,81,26,66,64,38,51,55,58,68,68,32,59,70,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
roshown-mcleod-2000-01-philadelphia-76ers,Roshown McLeod,2000-01 Philadelphia 76ers,SF,69,"6'8""",80,221,"6'11""",83,64.0,50.0,53.0,80.0,53.0,56.0,70.0,61,88,59,40,82,54,39,60,74,51,48,53,42,35,68,49,50,35,64,68,98,77,69,98,74,74,39,50,70,44,60,68,41,57,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
todd-macculloch-2000-01-philadelphia-76ers,Todd MacCulloch,2000-01 Philadelphia 76ers,C,68,"7'0""",84,280,"7'4""",88,56.0,59.0,29.0,51.0,51.0,79.0,90.0,59,63,63,45,79,25,69,40,65,28,62,65,75,69,32,32,30,28,25,25,55,77,30,62,75,30,62,50,57,63,44,25,55,71,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
raja-bell-2000-01-philadelphia-76ers,Raja Bell,2000-01 Philadelphia 76ers,SG,68,"6'6""",78,210,"6'9""",81,64.0,50.0,49.0,78.0,64.0,30.0,64.0,62,75,74,47,46,82,30,66,70,76,45,45,25,45,64,40,40,25,76,88,95,82,76,86,42,75,25,70,75,55,75,84,63,34,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,Bronze,-,Bronze,Bronze,-,Bronze,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
julius-erving-1976-77-philadelphia-76ers,Julius Erving,1976-77 Philadelphia 76ers,SF / SG,94,"6'7""",79,200,"6'11""",83,85.0,88.0,81.0,93.0,77.0,78.0,90.0,95,84,79,98,84,69,92,98,95,98,79,79,79,85,85,79,84,74,83,84,98,95,90,98,85,98,60,80,84,74,84,85,75,79,77,-,-,-,-,-,HOF,HOF,-,HOF,-,Silver,-,-,-,HOF,-,-,-,Gold,-,-,-,-,-,-,-,Bronze,Gold,-,-,-,-,-,Gold,-,-,-,-,-,-,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
george-mcginnis-1976-77-philadelphia-76ers,George McGinnis,1976-77 Philadelphia 76ers,PF / C,86,"6'8""",80,235,"6'11""",83,75.0,83.0,56.0,80.0,67.0,78.0,98.0,82,71,70,65,98,65,84,75,98,85,85,78,81,75,61,58,58,65,38,66,90,90,61,98,98,60,37,65,80,85,65,66,73,77,78,-,-,-,Gold,-,Gold,-,-,-,-,-,Bronze,Gold,Bronze,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,Bronze,Gold,-,Gold,-,-,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
doug-collins-1976-77-philadelphia-76ers,Doug Collins,1976-77 Philadelphia 76ers,SG / SF,85,"6'6""",78,180,"6'9""",81,88.0,57.0,79.0,78.0,70.0,39.0,90.0,88,81,92,95,87,84,82,25,85,86,33,36,66,42,86,84,90,64,72,86,88,77,77,92,60,65,37,85,85,42,84,84,75,37,41,-,-,-,Silver,-,-,-,-,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
henry-bibby-1976-77-philadelphia-76ers,Henry Bibby,1976-77 Philadelphia 76ers,PG / SG,80,"6'1""",73,185,"6'4""",76,81.0,51.0,76.0,73.0,58.0,40.0,85.0,79,78,87,80,81,80,68,25,90,85,25,55,36,25,78,75,79,71,77,86,85,79,76,91,40,55,27,80,74,30,59,77,62,43,37,Bronze,Bronze,-,Gold,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,Silver,-,-,-,Gold,Gold,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
world-b-free-1976-77-philadelphia-76ers,World B. Free,1976-77 Philadelphia 76ers,PG / SG,80,"6'2""",74,185,"6'5""",77,82.0,64.0,73.0,81.0,61.0,44.0,80.0,87,73,79,90,84,78,83,88,90,95,30,70,28,25,81,69,65,70,82,77,85,82,82,85,60,95,50,80,65,35,70,63,61,39,48,-,-,-,-,-,-,Gold,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
steve-mix-1976-77-philadelphia-76ers,Steve Mix,1976-77 Philadelphia 76ers,PF / SF,78,"6'7""",79,215,"6'10""",82,80.0,75.0,46.0,66.0,58.0,82.0,80.0,84,82,85,80,75,73,82,65,80,85,76,76,75,60,46,43,48,48,44,42,90,85,52,80,62,52,27,65,72,75,58,42,67,82,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
caldwell-jones-1976-77-philadelphia-76ers,Caldwell Jones,1976-77 Philadelphia 76ers,C,77,"6'11""",83,217,"7'3""",87,66.0,70.0,35.0,69.0,71.0,79.0,90.0,73,83,69,75,46,50,48,75,82,68,68,68,68,80,33,32,40,34,38,40,85,75,55,78,80,70,84,80,81,80,80,57,35,80,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,-,-,-,Bronze,-,Silver,-,-,-,-,-,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
darryl-dawkins-1976-77-philadelphia-76ers,Darryl Dawkins,1976-77 Philadelphia 76ers,C,74,"6'11""",83,251,"7'3""",87,54.0,75.0,38.0,72.0,56.0,73.0,70.0,67,70,55,55,50,25,70,85,80,64,64,65,70,98,45,34,30,33,47,45,70,75,72,75,80,90,76,45,52,68,48,44,57,86,60,-,-,-,-,-,Gold,-,-,-,-,-,-,-,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,Gold,-,-,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
mike-dunleavy-1976-77-philadelphia-76ers,Mike Dunleavy,1976-77 Philadelphia 76ers,PG / SG,72,"6'3""",75,180,"6'9""",81,73.0,43.0,75.0,71.0,55.0,37.0,72.0,73,72,83,70,65,75,71,25,82,60,25,29,25,25,75,75,75,77,75,79,82,74,75,86,40,58,35,65,60,25,56,66,79,45,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
joe-bryant-1976-77-philadelphia-76ers,Joe Bryant,1976-77 Philadelphia 76ers,SF / PF,71,"6'9""",81,185,"7'0""",84,66.0,67.0,55.0,68.0,55.0,64.0,72.0,74,77,64,60,60,58,69,77,75,80,56,59,53,69,66,58,56,53,40,66,70,82,61,81,48,66,50,55,54,50,50,58,65,61,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
harvey-catchings-1976-77-philadelphia-76ers,Harvey Catchings,1976-77 Philadelphia 76ers,C / PF,71,"6'9""",81,218,"7'1""",85,47.0,56.0,30.0,69.0,64.0,82.0,85.0,51,61,38,60,45,25,52,58,60,45,57,40,58,80,33,32,31,30,25,45,90,80,55,80,55,81,82,65,70,75,52,45,59,73,91,-,-,-,-,-,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,-,-,-,-,-,-,-,-,Bronze,Silver,-,-,-,1976-77 Philadelphia 76ers,Philadelphia 76ers,1976-77,'77
kareem-abdul-jabbar-1970-71-milwaukee-bucks,Kareem Abdul-Jabbar,1970-71 Milwaukee Bucks,C / PF,97,"7'2""",86,225,"7'5""",89,78.0,90.0,53.0,77.0,80.0,96.0,80.0,97,69,88,99,83,30,84,65,98,84,98,94,99,95,48,58,70,46,42,37,95,82,78,95,83,68,88,95,95,96,92,37,56,96,95,-,-,-,Gold,-,Gold,Gold,HOF,-,HOF,Gold,HOF,HOF,HOF,-,Gold,-,-,Silver,-,-,-,-,-,-,Gold,-,-,-,-,-,-,HOF,-,HOF,HOF,Gold,Gold,Gold,-,1970-71 Milwaukee Bucks,Milwaukee Bucks,1970-71,'71
oscar-robertson-1970-71-milwaukee-bucks,Oscar Robertson,1970-71 Milwaukee Bucks,PG / SG,92,"6'5""",77,210,"6'8""",80,87.0,72.0,92.0,83.0,72.0,63.0,90.0,89,85,87,98,85,80,73,50,90,98,85,82,70,25,89,98,98,97,79,85,83,88,74,90,75,86,45,90,84,55,75,86,72,63,63,Gold,Bronze,-,-,Bronze,-,Gold,-,HOF,-,Silver,-,-,-,-,-,Gold,Gold,Gold,Gold,Bronze,-,Gold,Gold,Gold,-,Bronze,-,-,Gold,-,-,-,Gold,-,-,Gold,-,-,-,1970-71 Milwaukee Bucks,Milwaukee Bucks,1970-71,'71
bob-dandridge-1970-71-milwaukee-bucks,Bob Dandridge,1970-71 Milwaukee Bucks,SF / SG,85,"6'6""",78,195,"6'9""",81,80.0,65.0,72.0,83.0,76.0,71.0,80.0,86,70,86,85,75,77,72,60,83,83,55,80,40,46,73,70,75,64,78,87,95,85,81,88,60,85,55,85,88,60,84,87,70,70,72,-,-,-,Gold,Silver,Silver,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,-,Silver,-,-,Silver,-,Silver,-,-,-,-,-,-,1970-71 Milwaukee Bucks,Milwaukee Bucks,1970-71,'71
lucius-allen-1970-71-milwaukee-bucks,Lucius Allen,1970-71 Milwaukee Bucks,PG / SG,77,"6'2""",74,175,"6'5""",77,76.0,49.0,86.0,73.0,57.0,48.0,85.0,84,70,82,80,62,75,67,50,70,85,25,44,25,25,86,87,88,84,85,76,75,82,85,85,50,60,32,80,60,33,48,62,85,44,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,-,-,Silver,-,-,-,Silver,-,-,-,-,-,-,1970-71 Milwaukee Bucks,Milwaukee Bucks,1970-71,'71
jon-mcglocklin-1970-71-milwaukee-bucks,Jon McGlocklin,1970-71 Milwaukee Bucks,SG / PF,74,"6'5""",77,205,"6'8""",80,84.0,44.0,64.0,66.0,53.0,37.0,80.0,82,86,89,80,80,87,53,47,72,57,25,51,25,25,67,65,64,63,62,68,85,85,60,83,53,30,25,75,63,34,58,65,50,35,39,-,Silver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1970-71 Milwaukee Bucks,Milwaukee Bucks,1970-71,'71
greg-smith-1970-71-milwaukee-bucks,Greg Smith,1970-71 Milwaukee Bucks,PF / SF,74,"6'5""",77,195,"6'9""",81,58.0,64.0,63.0,73.0,64.0,75.0,98.0,65,66,50,65,65,35,66,75,66,65,60,60,60,60,54,68,64,64,67,49,98,80,69,82,63,71,44,70,70,82,68,49,68,70,79,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1970-71 Milwaukee Bucks,Milwaukee Bucks,1970-71,'71
dick-cunningham-1970-71-milwaukee-bucks,Dick Cunningham,1970-71 Milwaukee Bucks,C / PF,71,"6'10""",82,245,"7'2""",86,53.0,57.0,41.0,64.0,59.0,79.0,98.0,48,66,35,65,80,25,66,40,63,25,65,64,65,66,26,40,49,42,49,25,90,77,62,65,74,58,70,65,60,73,65,25,55,79,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1970-71 Milwaukee Bucks,Milwaukee Bucks,1970-71,'71
sidney-moncrief-1984-85-milwaukee-bucks,Sidney Moncrief,1984-85 Milwaukee Bucks,SG / PG,90,"6'3""",75,180,"6'6""",78,82.0,71.0,78.0,85.0,81.0,70.0,80.0,84,82,81,90,84,69,89,85,98,83,59,69,59,25,78,79,79,77,77,97,97,82,74,98,65,81,55,95,98,63,95,97,67,69,70,-,-,-,-,-,-,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,HOF,Gold,Silver,Gold,-,HOF,HOF,-,HOF,-,-,-,-,Gold,-,1984-85 Milwaukee Bucks,Milwaukee Bucks,1984-85,'85
terry-cummings-1984-85-milwaukee-bucks,Terry Cummings,1984-85 Milwaukee Bucks,PF / C,88,"6'9""",81,220,"7'0""",84,78.0,85.0,61.0,79.0,74.0,82.0,95.0,88,74,75,95,84,52,82,80,85,81,90,91,91,82,68,55,72,52,56,61,76,87,67,86,87,87,72,85,77,80,75,61,67,85,79,-,-,-,Gold,-,Silver,Silver,-,-,Silver,-,Gold,Silver,Silver,-,Bronze,-,-,Bronze,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,1984-85 Milwaukee Bucks,Milwaukee Bucks,1984-85,'85
paul-pressey-1984-85-milwaukee-bucks,Paul Pressey,1984-85 Milwaukee Bucks,SG / SF,85,"6'5""",77,185,"6'8""",80,77.0,74.0,75.0,86.0,76.0,59.0,70.0,77,75,74,90,79,67,84,90,98,85,60,66,49,62,78,79,79,72,67,91,98,90,62,98,69,92,59,95,81,57,80,92,69,59,59,-,-,-,-,-,Silver,Gold,-,Gold,-,-,-,-,-,-,-,-,-,-,Bronze,Silver,Gold,Gold,Gold,Bronze,Gold,Gold,Silver,Gold,-,Gold,Gold,-,Gold,-,-,-,-,-,-,1984-85 Milwaukee Bucks,Milwaukee Bucks,1984-85,'85
alton-lister-1984-85-milwaukee-bucks,Alton Lister,1984-85 Milwaukee Bucks,C / PF,79,"7'0""",84,240,"7'4""",88,60.0,69.0,36.0,59.0,69.0,85.0,90.0,79,58,35,65,98,26,79,75,58,74,69,38,69,90,34,45,40,35,25,30,68,90,26,75,70,52,83,85,80,84,65,30,58,86,84,-,-,-,-,-,Gold,-,-,-,-,-,-,-,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,Gold,-,Gold,-,-,1984-85 Milwaukee Bucks,Milwaukee Bucks,1984-85,'85
ricky-pierce-1984-85-milwaukee-bucks,Ricky Pierce,1984-85 Milwaukee Bucks,SF / SG,76,"6'4""",76,205,"6'7""",79,75.0,57.0,64.0,73.0,55.0,51.0,90.0,84,82,84,65,64,72,73,58,80,79,59,59,25,25,72,66,60,60,63,68,80,65,67,84,75,75,32,60,58,55,55,60,64,46,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1984-85 Milwaukee Bucks,Milwaukee Bucks,1984-85,'85
mike-dunleavy-1984-85-milwaukee-bucks,Mike Dunleavy,1984-85 Milwaukee Bucks,PG / SG,74,"6'3""",75,180,"6'9""",81,81.0,41.0,77.0,70.0,58.0,37.0,60.0,78,86,84,80,80,78,57,25,82,58,25,29,25,25,77,84,82,73,71,84,82,75,67,86,44,54,35,75,75,25,59,75,63,41,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1984-85 Milwaukee Bucks,Milwaukee Bucks,1984-85,'85
randy-breuer-1984-85-milwaukee-bucks,Randy Breuer,1984-85 Milwaukee Bucks,C / PF,73,"7'3""",87,230,"7'8""",92,64.0,60.0,34.0,48.0,63.0,81.0,98.0,74,70,60,55,88,34,80,40,64,25,69,55,69,80,26,44,46,29,25,25,60,77,30,66,50,30,82,70,75,75,54,25,57,83,78,-,-,-,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1984-85 Milwaukee Bucks,Milwaukee Bucks,1984-85,'85
charles-davis-1984-85-milwaukee-bucks,Charles Davis,1984-85 Milwaukee Bucks,SF / PF,73,"6'7""",79,215,"6'10""",82,75.0,57.0,46.0,66.0,57.0,63.0,85.0,74,82,79,65,85,62,61,65,62,66,55,55,40,50,50,45,58,38,40,67,64,75,48,70,73,62,35,60,60,60,62,59,61,59,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1984-85 Milwaukee Bucks,Milwaukee Bucks,1984-85,'85
kevin-grevey-1984-85-milwaukee-bucks,Kevin Grevey,1984-85 Milwaukee Bucks,SF,73,"6'5""",77,210,"6'8""",80,77.0,60.0,59.0,77.0,54.0,47.0,45.0,70,85,84,70,75,77,52,65,85,74,54,55,52,45,74,58,57,40,65,68,84,92,68,85,66,77,35,50,53,49,60,68,65,46,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,Gold,-,-,-,-,-,-,-,-,-,1984-85 Milwaukee Bucks,Milwaukee Bucks,1984-85,'85
