slug,name,team,pos,overall,height,height_in,weight_lbs,wingspan,wingspan_in,Outside Scoring,Inside Scoring,Playmaking,Athleticism,Defense,Rebounding,Intangibles,Close Shot,Free Throw,Mid-Range Shot,Offensive Consistency,Shot IQ,Three-Point Shot,Draw Foul,Driving Dunk,Hands,Layup,Post Control,Post Fade,Post Hook,Standing Dunk,Ball Handle,Pass Accuracy,Pass IQ,Pass Vision,Speed with Ball,Agility,Hustle,Overall Durability,Speed,Stamina,Strength,Vertical,Block,Defensive Consistency,Help Defense IQ,Interior Defense,Pass Perception,Perimeter Defense,Steal,Defensive Rebound,Offensive Rebound
lamelo-ball,LaMelo Ball,Minnesota Timberwolves,PG / SG,86,"6'7""",79,180,"6'10""",82,83.0,66.0,91.0,80.0,66.0,54.0,60.0,83,89,76,90,75,87,70,75,98,81,52,58,52,45,95,93,93,90,84,84,89,82,84,93,50,79,42,75,79,45,89,70,63,65,42
jalen-duren,Jalen Duren,Detroit Pistons,C,85,"6'10""",82,250,"7'5""",89,67.0,77.0,54.0,83.0,75.0,92.0,40.0,96,70,70,60,70,35,47,90,70,84,94,62,85,80,59,59,50,41,59,68,80,89,73,89,96,84,70,85,89,89,88,62,42,94,90
zion-williamson,Zion Williamson,New Orleans Pelicans,PF / PG,85,"6'6""",78,284,"6'10""",82,76.0,87.0,71.0,87.0,56.0,60.0,40.0,83,72,79,85,70,67,85,93,95,86,85,80,90,85,78,65,72,66,74,81,95,76,84,83,92,97,56,40,64,59,70,55,46,59,61
deaaron-fox,De’Aaron Fox,San Antonio Spurs,PG / SG,84,"6'3""",75,185,"6'7""",79,83.0,57.0,86.0,84.0,66.0,44.0,40.0,98,76,90,90,65,78,50,80,90,95,27,60,25,25,87,85,85,74,97,93,90,83,97,96,46,84,42,80,82,34,82,84,56,52,35
ivica-zubac,Ivica Zubac,Indiana Pacers,C,84,"7'0""",84,240,"7'4""",88,68.0,81.0,45.0,73.0,72.0,87.0,30.0,97,71,76,75,65,26,55,80,80,83,91,78,97,85,35,70,47,44,30,63,85,76,43,80,90,75,67,95,90,88,67,63,33,88,85
josh-giddey,Josh Giddey,Chicago Bulls,PG / SG,84,"6'8""",80,216,"6'8""",80,76.0,69.0,87.0,79.0,52.0,65.0,85.0,92,76,38,85,85,79,89,65,90,94,55,58,55,45,86,90,92,88,79,79,90,85,79,88,60,74,53,45,57,50,54,62,43,83,46
derrick-white,Derrick White,Boston Celtics,PG / SG,83,"6'4""",76,190,"6'8""",80,81.0,57.0,83.0,81.0,79.0,47.0,30.0,82,90,85,75,70,81,67,55,90,86,35,51,35,40,86,88,82,71,87,93,95,84,88,85,46,75,80,95,95,58,84,95,49,51,43
dejounte-murray,Dejounte Murray,New Orleans Pelicans,PG / SG,82,"6'4""",76,180,"6'10""",82,85.0,62.0,83.0,74.0,72.0,53.0,60.0,97,87,84,85,80,74,61,75,95,90,49,48,40,40,86,82,82,81,83,85,90,60,83,90,52,60,42,80,80,53,81,83,86,76,30
zach-lavine,Zach LaVine,Sacramento Kings,SG / SF,82,"6'5""",77,200,"6'8""",80,84.0,73.0,70.0,78.0,46.0,37.0,50.0,97,88,79,85,70,85,80,94,80,87,59,66,59,60,88,70,67,42,81,82,65,71,84,98,49,97,42,40,57,47,38,61,37,47,27
cason-wallace,Cason Wallace,Oklahoma City Thunder,SG / PG,81,"6'3""",75,195,"6'9""",81,73.0,54.0,70.0,80.0,85.0,45.0,50.0,70,80,73,70,65,81,57,70,95,82,37,37,31,25,78,75,75,49,75,91,85,91,75,90,55,72,52,95,89,72,93,93,98,47,42
tobias-harris,Tobias Harris,San Antonio Spurs,PF / SF,81,"6'8""",80,226,"6'11""",83,82.0,76.0,68.0,78.0,61.0,55.0,60.0,97,87,84,80,60,82,68,75,95,79,86,70,70,65,79,77,78,48,56,67,73,80,75,97,73,79,55,60,66,67,64,68,46,68,41
neemias-queta,Neemias Queta,Boston Celtics,C,80,"7'0""",84,248,"7'4""",88,71.0,68.0,44.0,75.0,74.0,84.0,40.0,98,70,76,60,70,50,50,70,85,76,62,60,62,75,38,52,62,37,30,59,95,81,59,80,85,65,86,85,88,89,57,68,46,83,84
saddiq-bey,Saddiq Bey,New Orleans Pelicans,SF / PF,80,"6'8""",80,215,"6'11""",83,80.0,76.0,64.0,77.0,58.0,57.0,35.0,87,84,64,90,70,82,88,75,95,84,90,64,63,45,76,64,75,46,57,72,90,83,63,81,80,70,32,65,67,64,65,69,42,60,53
daniss-jenkins,Daniss Jenkins,Detroit Pistons,PG / SG,79,"6'4""",76,165,"6'8""",80,78.0,53.0,79.0,74.0,60.0,46.0,75.0,76,82,84,60,80,83,72,60,85,80,28,36,36,30,86,80,85,72,74,75,80,86,75,85,45,70,50,65,69,32,75,69,63,46,45
derik-queen,Derik Queen,New Orleans Pelicans,PF / C,79,"6'9""",81,250,"7'1""",85,75.0,77.0,70.0,73.0,63.0,72.0,45.0,85,79,71,75,75,66,75,70,90,82,78,78,78,65,69,79,82,70,52,54,80,94,54,85,83,62,73,60,68,69,62,52,59,83,60
herbert-jones,Herbert Jones,New Orleans Pelicans,SF / SG,79,"6'7""",79,206,"7'0""",84,61.0,65.0,67.0,79.0,82.0,45.0,30.0,65,81,75,30,40,73,55,75,85,60,62,62,62,55,75,65,75,49,69,91,85,75,74,82,72,72,56,85,90,85,88,90,83,49,41
jeremiah-fears,Jeremiah Fears,New Orleans Pelicans,PG / SG,79,"6'3""",75,190,"6'5""",77,76.0,60.0,81.0,81.0,57.0,48.0,70.0,73,79,75,75,75,79,79,70,85,82,40,41,40,40,88,78,79,69,90,88,85,94,93,85,49,75,53,60,62,38,60,62,63,56,39
john-collins,John Collins,Detroit Pistons,PF / C,79,"6'9""",81,226,"6'11""",83,73.0,78.0,51.0,79.0,56.0,61.0,60.0,97,78,74,40,65,83,40,90,80,84,90,76,76,85,60,58,58,31,50,65,85,80,71,92,75,85,66,50,70,70,38,49,46,64,57
malik-monk,Malik Monk,Sacramento Kings,SG / PG,79,"6'3""",75,200,"6'5""",77,81.0,58.0,75.0,77.0,51.0,39.0,85.0,83,88,79,80,75,83,44,75,95,78,45,62,25,40,79,75,75,70,76,80,72,81,80,88,48,88,55,45,54,45,57,60,41,46,31
ryan-kalkbrenner,Ryan Kalkbrenner,Charlotte Hornets,C,79,"7'1""",85,256,"7'5""",89,79.0,71.0,39.0,69.0,63.0,75.0,80.0,98,71,74,70,85,73,67,75,85,61,70,60,71,80,37,50,50,30,30,35,85,87,44,85,70,74,89,75,78,78,54,30,38,65,85
isaiah-joe,Isaiah Joe,Detroit Pistons,SG / PG,78,"6'4""",76,165,"6'8""",80,86.0,57.0,62.0,73.0,52.0,44.0,30.0,96,89,92,85,65,87,85,60,85,86,30,38,35,40,74,67,69,36,63,77,75,80,72,80,47,79,42,55,61,42,52,69,46,50,37
jared-mccain,Jared McCain,Oklahoma City Thunder,PG / SG,78,"6'3""",75,195,"6'4""",76,84.0,55.0,70.0,74.0,52.0,44.0,90.0,83,87,77,80,90,84,60,70,85,78,38,38,37,30,86,73,73,42,75,76,80,78,76,85,52,68,35,55,60,45,60,63,43,52,36
luguentz-dort,Luguentz Dort,Atlanta Hawks,SG / SF,78,"6'4""",76,220,"6'9""",81,64.0,57.0,63.0,87.0,80.0,47.0,40.0,64,76,86,40,40,78,40,85,85,71,44,38,40,50,72,67,68,31,76,94,94,84,79,92,78,87,55,90,90,75,88,90,75,51,42
tari-eason,Tari Eason,Houston Rockets,SF / SG,78,"6'8""",80,215,"7'2""",86,64.0,59.0,55.0,81.0,77.0,68.0,30.0,75,75,54,40,60,80,44,80,80,79,51,52,54,35,70,50,47,35,72,85,85,79,80,85,70,80,56,80,84,78,85,85,70,69,67
caleb-wilson,Caleb Wilson,Chicago Bulls,PF / C,77,"6'10""",82,215,"7'0""",84,66.0,71.0,61.0,80.0,73.0,71.0,50.0,82,71,67,50,60,65,66,88,75,82,60,61,61,75,67,59,65,37,76,82,85,67,85,88,61,92,79,65,75,77,70,75,67,75,67
dean-wade,Dean Wade,Philadelphia 76ers,PF / SF,76,"6'9""",81,228,"6'10""",82,69.0,66.0,46.0,77.0,74.0,57.0,50.0,93,71,70,40,60,79,44,75,70,78,64,60,60,80,60,38,55,35,43,84,85,73,62,80,69,83,56,85,84,80,82,84,49,66,47
jalen-smith,Jalen Smith,Chicago Bulls,C / PF,76,"6'8""",80,215,"7'2""",86,74.0,73.0,39.0,76.0,56.0,77.0,60.0,71,74,67,80,70,80,57,80,80,70,71,71,72,85,38,29,40,37,49,68,70,77,69,82,79,86,76,45,73,70,44,48,37,85,69
precious-achiuwa,Precious Achiuwa,Sacramento Kings,PF / C,76,"6'8""",80,225,"7'1""",85,68.0,64.0,47.0,80.0,69.0,77.0,35.0,94,56,60,65,60,73,50,80,75,79,42,44,57,85,49,36,50,35,66,74,90,83,75,84,78,79,66,75,79,79,70,56,56,78,75
jay-huff,Jay Huff,Indiana Pacers,C,75,"7'1""",85,240,"7'5""",89,79.0,70.0,45.0,68.0,66.0,56.0,45.0,98,82,82,75,60,77,64,65,80,61,74,74,74,65,43,50,60,39,33,47,85,81,48,80,70,62,93,75,78,79,64,32,40,65,47
kevin-huerter,Kevin Huerter,Detroit Pistons,SG / SF,75,"6'6""",78,198,"6'8""",80,73.0,55.0,73.0,76.0,55.0,49.0,70.0,94,77,67,75,45,79,50,65,90,85,35,60,25,30,79,74,76,62,72,73,80,83,84,85,50,75,58,50,58,44,57,64,53,61,37
luke-kennard,Luke Kennard,Phoenix Suns,SG / PG,75,"6'5""",77,206,"6'5""",77,84.0,48.0,67.0,68.0,44.0,42.0,70.0,98,93,82,70,65,93,49,60,80,72,32,35,28,30,75,74,74,46,66,68,70,79,69,92,40,60,37,40,50,35,50,51,42,48,35
grant-williams,Grant Williams,Charlotte Hornets,PF / C,74,"6'7""",79,236,"6'10""",82,74.0,61.0,61.0,72.0,60.0,63.0,55.0,88,81,77,55,60,81,37,60,80,77,66,58,59,50,66,69,72,43,54,70,80,68,58,88,73,66,58,60,69,68,60,68,36,64,62
josh-minott,Josh Minott,Brooklyn Nets,PF / C,74,"6'8""",80,205,"7'0""",84,76.0,66.0,57.0,78.0,69.0,60.0,40.0,82,79,85,70,60,82,64,80,85,76,52,55,51,65,63,62,60,34,68,76,85,82,72,90,62,80,65,65,67,59,79,67,80,63,57
justin-edwards,Justin Edwards,Philadelphia 76ers,SF / PF,74,"6'7""",79,203,"6'10""",82,77.0,55.0,65.0,79.0,59.0,42.0,40.0,89,85,79,70,60,80,44,80,75,81,40,40,40,40,70,65,65,44,79,82,80,87,82,85,59,81,51,50,58,50,54,68,80,45,38
marcus-sasser,Marcus Sasser,Dallas Mavericks,PG / SG,74,"6'1""",73,195,"6'7""",79,77.0,48.0,75.0,75.0,59.0,39.0,80.0,76,84,60,75,85,82,47,50,75,78,37,37,32,25,80,74,74,71,75,83,85,79,75,85,47,69,42,65,67,35,67,70,70,43,34
moritz-wagner,Moritz Wagner,Brooklyn Nets,C / PF,74,"6'11""",83,245,"7'0""",84,75.0,68.0,48.0,75.0,48.0,71.0,40.0,80,82,84,80,50,75,40,65,70,72,74,74,74,75,40,54,55,38,53,67,85,66,73,78,81,75,32,35,58,58,54,40,59,83,58
asa-newell,Asa Newell,Atlanta Hawks,PF / C,73,"6'10""",82,220,"6'17""",89,69.0,68.0,56.0,79.0,63.0,60.0,45.0,91,56,67,60,60,82,51,85,75,74,60,60,60,80,69,54,55,33,69,70,90,85,75,85,67,78,63,60,67,70,69,66,46,53,66
ben-sheppard,Ben Sheppard,Indiana Pacers,SG / SF,73,"6'6""",78,190,"6'8""",80,74.0,56.0,66.0,79.0,62.0,48.0,55.0,85,77,79,60,60,81,49,60,80,78,47,49,48,35,73,70,70,43,74,84,90,82,84,85,54,75,35,75,78,54,75,79,41,55,41
tidjane-salaun,Tidjane Salaün,Charlotte Hornets,PF / SF,73,"6'10""",82,207,"7'2""",86,69.0,63.0,52.0,79.0,58.0,68.0,50.0,76,65,65,60,70,80,47,80,80,76,51,51,52,65,66,47,45,34,66,82,90,81,71,88,60,80,52,50,65,69,59,74,38,84,51
trendon-watford,Trendon Watford,New Orleans Pelicans,PF / PG,73,"6'8""",80,237,"7'2""",86,73.0,72.0,64.0,75.0,51.0,59.0,40.0,96,78,68,65,60,68,66,75,75,81,69,69,69,75,50,69,75,70,57,63,80,77,63,85,79,80,62,40,52,66,50,52,36,69,48
joan-beringer,Joan Beringer,Minnesota Timberwolves,C,72,"6'11""",83,203,"7'5""",89,50.0,64.0,43.0,76.0,56.0,82.0,50.0,69,62,45,40,60,26,40,80,80,68,55,50,57,85,47,49,47,31,41,67,90,85,56,85,70,80,80,40,66,73,55,40,35,70,93
christian-koloko,Christian Koloko,New Orleans Pelicans,C,71,"6'11""",83,230,"7'5""",89,53.0,61.0,41.0,75.0,67.0,64.0,50.0,64,63,60,35,65,29,50,75,70,64,51,50,54,75,42,37,52,31,44,72,80,83,72,80,65,75,92,75,75,75,50,37,66,60,67
daeqwon-plowden,Daeqwon Plowden,Sacramento Kings,SF / SG,71,"6'4""",76,216,"6'8""",80,69.0,57.0,59.0,78.0,52.0,46.0,50.0,85,85,68,50,50,78,37,80,80,78,47,44,47,40,67,60,62,31,76,82,75,79,83,80,62,83,37,50,65,46,62,66,41,47,45
koa-peat,Koa Peat,Phoenix Suns,PF / SF,71,"6'8""",80,235,"6'11""",83,61.0,73.0,62.0,84.0,55.0,48.0,40.0,80,62,62,50,50,60,44,80,85,80,73,69,73,80,66,66,68,39,69,74,90,80,84,90,79,88,47,50,62,66,55,62,42,53,42
oscar-tshiebwe,Oscar Tshiebwe,Houston Rockets,C / PF,71,"6'8""",80,255,"7'4""",88,55.0,64.0,43.0,77.0,54.0,88.0,25.0,97,57,69,40,30,37,37,75,95,79,48,48,54,75,40,42,55,40,39,67,90,79,75,80,73,75,45,55,69,69,40,48,53,80,96
isaiah-evans,Isaiah Evans,Minnesota Timberwolves,SG / SF,70,"6'6""",78,180,"6'9""",81,70.0,53.0,64.0,77.0,51.0,36.0,55.0,70,86,74,50,60,81,37,70,76,70,41,45,43,45,71,66,67,40,74,76,80,84,82,88,55,71,37,45,60,48,57,66,41,40,32
jakobi-gillespie,Ja’Kobi Gillespie,San Antonio Spurs (Two-Way Contract),PG / SG,69,"6'1""",73,188,"6'4""",76,68.0,44.0,75.0,78.0,56.0,35.0,50.0,73,81,76,50,50,77,41,30,80,73,30,39,37,25,79,71,72,70,85,85,75,80,85,89,48,81,25,50,62,43,67,69,78,40,29
otega-oweh,Otega Oweh,Oklahoma City Thunder (Two-Way Contract),SG / SF,69,"6'4""",76,220,"6'9""",81,65.0,62.0,61.0,79.0,59.0,43.0,60.0,75,73,72,50,50,72,40,80,78,78,52,52,52,65,70,60,67,32,76,79,85,80,83,89,60,79,37,50,67,57,64,69,67,44,41
rayj-dennis,RayJ Dennis,Atlanta Hawks (Two-Way Contract),PG / SG,69,"6'1""",73,180,"6'9""",81,68.0,48.0,75.0,75.0,54.0,38.0,50.0,72,73,74,55,60,75,47,55,84,73,33,34,33,25,74,75,75,73,79,80,80,84,79,85,42,75,35,45,62,44,55,67,68,44,32
sergio-de-larrea,Sergio De Larrea,Dallas Mavericks,SG / PG,69,"6'5""",77,175,"6'9""",81,68.0,59.0,68.0,75.0,49.0,49.0,50.0,71,83,69,45,60,81,49,60,90,73,55,57,54,35,73,68,72,57,70,70,85,80,71,89,57,70,37,45,58,47,57,60,38,54,44
tobi-lawal,Tobi Lawal,Dallas Mavericks (Two-Way Contract),PF / SF,69,"6'8""",80,215,"6'11""",83,52.0,64.0,60.0,81.0,54.0,63.0,30.0,70,44,62,30,35,68,40,93,75,71,51,50,53,80,60,60,63,37,79,83,75,80,84,90,54,99,59,40,64,64,47,66,40,66,60
cj-huntley,CJ Huntley,Phoenix Suns (Two-Way Contract),PF / C,68,"6'9""",81,190,"7'5""",89,63.0,67.0,47.0,70.0,52.0,70.0,40.0,74,69,73,40,50,72,45,80,80,78,60,60,60,75,48,48,58,34,47,57,80,83,59,80,50,80,59,45,60,63,47,51,42,70,69
isaiah-crawford,Isaiah Crawford,Houston Rockets,SF / SG,68,"6'6""",78,220,"6'10""",82,66.0,60.0,49.0,72.0,50.0,57.0,60.0,71,73,74,50,50,76,45,65,80,70,57,57,57,50,57,48,47,37,57,61,75,83,61,90,59,74,44,40,52,55,57,57,45,59,54
jaron-pierre-jr,Jaron Pierre Jr.,New Orleans Pelicans,SG / SG,68,"6'5""",77,185,"6'9""",81,68.0,53.0,59.0,75.0,48.0,35.0,60.0,73,78,78,50,50,77,37,70,85,73,42,52,28,35,70,62,60,35,70,74,80,83,76,80,57,72,42,40,56,44,50,61,40,36,33
josh-dix,Josh Dix,Oklahoma City Thunder (Two-Way Contract),SG,68,"6'6""",78,210,"6'9""",81,69.0,59.0,61.0,70.0,48.0,43.0,60.0,73,85,77,40,60,77,50,65,85,70,50,55,50,50,67,44,70,60,65,66,67,77,66,85,60,68,37,40,57,44,52,63,40,52,33
kylan-boswell,Kylan Boswell,Charlotte Hornets (Two-Way Contract),PG,68,"6'2""",74,200,"6'7""",79,66.0,44.0,72.0,77.0,58.0,40.0,50.0,70,78,75,40,60,74,40,40,80,70,30,34,32,25,79,75,70,56,79,83,76,81,79,85,60,78,50,60,70,34,57,74,62,47,33
malik-dia,Malik Dia,New Orleans Pelicans (Two-Way Contract),PF,68,"6'9""",81,250,"7'1""",85,63.0,68.0,53.0,72.0,49.0,58.0,50.0,74,68,69,45,50,69,66,70,75,70,66,67,66,65,57,59,57,34,57,60,70,77,60,85,79,70,45,45,52,64,50,52,36,64,52
quadir-copeland,Quadir Copeland,Houston Rockets (Two-Way Contract),PG,68,"6'6""",78,220,"6'11""",83,64.0,58.0,69.0,73.0,59.0,41.0,40.0,70,77,72,40,50,74,79,70,80,70,48,45,45,30,71,70,71,63,70,76,75,80,72,80,56,75,34,60,68,49,62,69,72,49,33
rafael-castro,Rafael Castro,Houston Rockets (Two-Way Contract),PF / C,68,"6'11""",83,220,"7'1""",85,55.0,63.0,52.0,73.0,53.0,70.0,40.0,74,66,66,30,50,44,44,75,84,67,53,51,53,75,54,59,62,34,52,59,80,78,71,80,66,79,67,40,60,64,40,59,41,74,66
tobe-awaka,Tobe Awaka,Chicago Bulls (Two-Way Contract),PF,68,"6'8""",80,250,"7'2""",86,55.0,58.0,47.0,80.0,51.0,73.0,30.0,71,64,63,25,50,59,40,70,70,67,47,40,59,70,50,52,52,29,54,66,85,90,80,80,70,87,45,40,67,64,52,54,38,66,80
